Timestamp,Teilbereich der Ausbildung,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Fachbereich,Fachbegriff,Inhalt,Fachbegriff,Definition,Erläuterung,Praxisbeispiel,Verwandte Themen,Kommentar/Bemerkung,Skizze,Lernfrage,Antwortmöglichkeit 1 (bitte hier immer die richtige Antwort),Begründung 1,Antwortmöglichkeit 2,Begründung 2,Antwortmöglichkeit 3,Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Lernfrage,Skizze,Antwort 1,Antwort 2,Antwort 3,Antwort 4,Antwort 5,Antwort 6,Antwort 7,Antwort 8,Begründung,Beispielrechnung,Skizze,Antwortmöglichkeit 1 (bitte hier immer die richtige Lösung),Begründung 1,Antwortmöglichkeit 2,Begründung 2,Antwortmöglichkeit 3,Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Lernfrage,Skizze,Antwortmöglichkeit 1 (bitte richtige Wahl),Begründung 1,Antwortmöglichkeit 2 (bitte richtige Wahl),Begründung 2,"Antwortmöglichkeit 3 (falls richtig, am Anfang der Antwort mit ""R:"" beginnen)",Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Skizze,Auswahl 1,Zugehörig zu Auswahl 1,Auswahl 2,Zugehörig zu Auswahl 2,Auswahl 3,Zugehörig zu Auswahl 3,Auswahl 4,Zugehörig zu Auswahl 4,Auswahl 5,Zugehörig zu Auswahl 5,Begründung,Skizze,Frage,"Antwort (Soll); bitte bei mehreren Soll, mit einem ; trennen","Antwort (Haben) bitte bei mehreren Haben, mit einem ; trennen",Begründung,Skizze (Leere Tabelle),Fragestellung,Lösung (ergänzte Tabelle),Begründung,Kommentar
08/01/2020 17:19:41,Aufträge bearbeiten,,,Handelskalkulation,,,,,,,,,,,,,Listeneinkaufspreis,Artikel/Definition/Beispiel,Listeneinkaufspreis,"Listeneinkaufspreis ist der Preis, den der Lieferant für den zu beschaffenden Artikel berechnet","Wenn ein Einkäufer eine Ware bestellt, dann wird der Preis der Ware vom Lieferanten zum Listeneinkaufspreis angeboten. Hierbei werden Rabatte und Abzüge nich berücksichtigt","Beispielweise kauft Firma X aus einem Katalog deinen Bürustuhl für 199€, dann ist dieser Preis der Listeneinkaufspreis","Lieferantenrabatt, Zieleinkaufspreis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2020 17:24:17,Aufträge bearbeiten,,,Handelskalkulation,,,,,,,,,,,,,Listeneinkaufspreis,Mehrfachwahlaufgabe (Multiple Choice),Listeneinkaufspreis,,,,,,,Von wem wird der Listeneinkaufspreis angeboten?,Verkäufer,Der Verkäufer bietet den ersten Preis an des fertigen Produkts und somit den Listeneinkaufspreis,Lieferant,"Falsch, weil der Lieferant zuvor beim Verkäufer für den Listeneinkaufspreis einkauft",Hersteller,"Falsch, weil der Hersteller nur das Produkt an den Verkäufer verkauft",Endkunde,"Falsch, weil der Endkunde den Bruttoverkaufspreis bezahlt und nicht den Listeneinkaufspreis",Distributor,"Flasch, weil der Distributor einen Aufschlag auf den Listeneinkaufspreis berechnet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 11:59:31,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Personalbedarf und -beschaffung,,,,,,,,,Artikel/Definition/Beispiel,Personalbedarf,"Personalbedarfsplanung gehört zum Thema „Personalwirtschaft“. Ziel ist es, die Ressource Mitarbeiter optimal zu nutzen und die Arbeitsleistung zu optimieren. Personalbedarfsplanung legt die Zahl (quantitative Planung) sowie die Anforderungen an die Mitarbeiter (qualitative Planung) fest.","Es gibt verschiedene Arten des Personalbedarfs:
-        Ersatzbedarf: aufgrund von Fluktuation (z. B. Rente, Kündigungen, …)
-        Zusatzbedarf: vorübergehender Bedarf aufgrund Arbeitsanstieg
-        Neubedarf: aufgrund von Unternehmenserweiterung (z. B. Eröffnung eines neuen Standorts)",Die Hoffmann KG plant die Eröffnung eines neuen Produktionsstandorts. Dafür hat sie einen Personalneubedarf von 20 Mitarbeitern. Außerdem verlassen einige Mitarbeiter das Unternehmen und gehen in Rente. So ist ein Ersatzbedarf von 5 Mitarbeitern entstanden.,"Personalbeschaffung, Personalfreisetzung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 12:04:23,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Personalbedarf und -beschaffung,,,,,,,,Personalbeschaffung,Artikel/Definition/Beispiel,Personalbeschaffung,"Personalbeschaffungsplanung gehört zum Thema „Personalwirtschaft“ und ""Personalmanagement"". Ziel ist es, die Ressource Mitarbeiter optimal zu nutzen und die Arbeitsleistung zu optimieren. Personalbeschaffung befasst sich mit der Deckung des zuvor festgestellten Personalbedarfs.","Es gibt unternehmensinterne- und -externe Personalbeschaffung:
Intern (freie Stelle wird mithilfe einer internen Stellenbeschreibung durch eine Arbeitskraft aus dem internen Arbeitsumfeld besetzt):
+ Mitarbeiter kennt das Unternehmen bereits
+ Höhere Identifikation mit dem Unternehmen
+ geringerer Einarbeitungsaufwand
+ höhere Motivation durch Aufstiegsmöglichkeit
Extern (freie Stelle wird mithilfe einer Stellenanzeige von einem externen Bewerber besetzt):
+ größere Auswahlmöglichkeit
+ neue Ideen/Innovationen kommen ins Unternehmen
+ Fehlbesetzungsgefahr nicht so hoch, da ich bei der Einstellung die Qualifikationen berücksichtige
","Die Hoffmann KG benötigt 25 neue Mitarbeiter. 10 Stellen werden intern ausgeschrieben, um die Mitarbeiter schnell einsetzen zu können. Die übrigen 15 Stellen werden durch eine Jobbörse und Stellenanzeige ausgeschrieben.","Personalbedarf, Personalfreisetzung",Die Vorteile der einen Beschaffungsart sind gegenteilig jeweils die Nachteile der anderen Beschaffungsart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 12:44:59,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Personalbedarf und -beschaffung,,,,,,,,Personalbedarf,Artikel/Definition/Beispiel,Ermittlung des Personalbedarfs,Zahlenmäßige Ermittlung der für das Unternehmen benötigten Mitarbeiter nach Berücksichtigung der Mitarbeiterzugänge und -abgänge.,"Nachfolgende Determinanten müssen für die Berechnung ermittelt werden:
- Soll-Personalbestand = : Bedarf der im Unternehmen benötigt wird , um alle Aufgaben zu erledigen zu können
- Ist-Personalbestand = aktueller Stand an Mitarbeitern im Unternehmen
- Abgänge
- Zugänge","Soll-Personalbestand - Ist-Personalbestand + Abgänge - Zugänge = Nettopersonalbedarf

Soll: 50 Mitarbeiter
Ist: 34 Mitarbeiter
Abgänge: 5 Mitarbeiter
Zugänge: 6 Mitarbeiter

50-34+5-6= 15 Mitarbeiter werden noch benötigt","Personalbedarf, Personalbeschaffung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 12:53:33,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Personalbedarf und -beschaffung,,,,,,,,Ermittlung des Personalbedarfs,Rechenaufgabe,Ermittlung des Personalbedarfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ermittle den Netto-Personalbedarf!
Soll-Personalbestand: 125 Mitarbeiter
Ist-Personalbestand: 113
Kündigungen: 5
Schwangerschaften: 2
Renten: 3
Übernahme aus der Ausbildung: 10
Rückkehr aus Elternzeit: 4",,8 Mitarbeiter,Ergebnis aus der Formel: Soll-Ist+Abgänge-Zugänge,16,"Nicht korrekt, weil Abgänge subtrahiert und Zugänge addiert wurden",-12,"Das würde bedeuten, dass 12 Mitarbeiter mehr angestellt sind als Bedarf vorhanden ist.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 13:00:21,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Personalbedarf und -beschaffung,,,,,,,,Ermittlung des Personalbedarfs,Mehrfachwahlaufgabe (Multiple Choice),Ermittlung des Personalbedarfs,,,,,,,Wie lautet die Formel zur Ermittlung der Personalbedarfs?,Soll-Personalbestand - Ist-Personalbestand + Personalabgänge - Personalzugänge = Netto-Personalbedarf,"Das ist die richtige Reihenfolge, da man von seinem Bedarf ausgeht und alles abziehen muss, was an Mitarbeitern aktuell und zukünftig zur Verfügung steht (Ist-Bestand sowie Zugänge). Abgänge, die mir auch noch zum Erfüllen des Bedarfs fehlen, müssen daher abgezogen werden.",Netto-Personalbestand - Ist-Personalbestand + Personalabgänge - Personalzugänge = Soll-Personalbedarf,Einen Netto-Personalbestand sowie einen Soll-Personalbedarf gibt es nicht. Die Wörter wurden vertauscht.,Soll-Personalbestand - Ist Personalbestand - Personalabgänge + Personalzugänge = Netto-Personalbedarf,Abgänge müssen addiert und Zugänge subtrahiert werden.,Soll-Personalbestand - Ist-Personalbestand - Personalabgänge - Personalzugänge = Netto-Personalbedarf,"Hier wurden fälschlicherweise auch die Personalabgänge abgezogen. Sie müssen aber hinzugerechnet werden, um auf den Netto-Personalbedarf zu kommen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 13:12:27,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Personalbedarf und -beschaffung,,,,,,,,Personalbedarf,Mehrfachwahlaufgabe (Multiple Choice),Personalbedarf,,,,,,,"Wie definiert man in der Personalwirtschaft ""Ersatzbedarf""?","Bedarf, der aufgrund von Fluktuation (z. B. Rente, Kündigungen, …) entsteht","Mitarbeiter, die das Unternehmen aufgrund verschiedener Gründe verlassen, müssen ersetzt werden.","Bedarf, der aufgrund von der Neueröffnung eines Standorts entsteht.","Das ist Neubedarf, weil die Mitarbeiter zuvor noch nicht benötigt wurden.","Bedarf, der aufgrund der in der Mittagspause abwesenden Mitarbeiter, entsteht.",Diesen Bedarf gibt es nicht ;-),"Bedarf für Stellen, die bis zum Zeitpunkt der Personalbeschaffung zwar vorgesehen, aber nicht besetzt sind.","Das ist Nachholbedarf, da die Stellen schon geplant waren und lediglich noch besetzt werden müssen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 13:29:33,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Personalbedarf und -beschaffung,,,,,,,,Personalbeschaffung,Mehrfachwahlaufgabe (Multiple Choice),Personalbeschaffung,,,,,,,Vorteile unternehmensinterner Personalbeschaffung,Höhere Identifikation mit dem Unternehmen,"Mitarbeiter hat eine höhere Bindung an das Unternehmen, weil er nur die Stelle wechselt, aber bereits dort angestellt war.",größere Auswahlmöglichkeit,Nein. Auf dem Arbeitsmarkt stehen mehr potentielle Stellenbesetzer zur Verfügung.,keine neuen Impulse von außen,Das ist ein Nachteil unternehmensinterner Personalbeschaffung,hoher Einarbeitungsaufwand,"Nein, das wäre ein Nachteil unternehmensexterner Personalbeschaffung. Bei unternehmensinterner Personalbeschaffung hat man geringeren Einarbeitungsaufwand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 13:31:02,Personalwirtschaftliche Aufgaben wahrnehmen,,,,,,,,Personalbedarf und -beschaffung,,,,,,,,Personalbeschaffung,Zuordnungsaufgabe,Personalbeschaffung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vorteil unternehmensinterner Personalbeschaffung,höhere Motivation durch Aufstiegsmöglichkeit,Vorteil unternehmensexterner Personalbeschaffung,größere Auswahlmöglichkeit,,,Nachteil unternehmensinterner Personalbeschaffung,Konkurrenzdenken unter den bestehenden Mitarbeitern verstärkt sich,Nachteil unternehmensexterner Personalbeschaffung,geringere Bindung an das Unternehmen,,,,,,,,,,,
