Timestamp,Teilbereich der Ausbildung,Unterkategorie des Teilbereichs,Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (Außenhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (Außenhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (Außenhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (Außenhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (Großhandels Inhalte),Unterkategorie des Teilbereichs (Außenhandels Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Teilbereichs (gemeinsame Inhalte),Unterkategorie des Fachbereichs,Kommentar,Fachbegriff,Inhalt,Kommentar,Definition,Erläuterung,Praxisbeispiel aus der Wirtschaft,Verwandte Themen,Kommentar/Bemerkung,Skizze,Lernfrage ,Antwortmöglichkeit 1.1 (bitte hier immer die richtige Antwort),Begründung 1.1 (bitte hier immer die richtige Antwort),Antwortmöglichkeit 1.2,Begründung 1.2,Antwortmöglichkeit 1.3,Begründung 1.3,Antwortmöglichkeit 1.4,Begründung 1.4,Antwortmöglichkeit 1.5,Begründung 1.5,Frage,Skizze,Antwort 1,Antwort 2,Antwort 3,Antwort 4,Antwort 5,Antwort 6,Antwort 7,Antwort 8,Begründung der Reihenfolge,Skizze,Beispiel-Rechnung ,Antwortmöglichkeit 1.1 (bitte hier immer die richtige Lösung),Begründung 1.1 (bitte hier immer die richtige Antwort),Antwortmöglichkeit 1.2,Begründung 1.2,Antwortmöglichkeit 1.3,Begründung 1.3,Antwortmöglichkeit 1.4,Begründung 1.4,Antwortmöglichkeit 1.5,Begründung 1.5,Lernfrage,Skizze,Antwortmöglichkeit 1.1 (bitte richtige Wahl),Begründung 1.1 (bitte hier immer die richtige Antwort),Antwortmöglichkeit 1.2 (bitte richtige Wahl),Begründung 1.2 (bitte hier immer die richtige Antwort),"Antwortmöglichkeit 1.3 (falls richtig, am Anfang der Antwort mit ""R:"" beginnen)",Begründung 1.3,Antwortmöglichkeit 1.4,Begründung 1.4,Antwortmöglichkeit 1.5,Begründung 1.5,Auswahl 1,Zugehörig zu Auswahl 1,Auswahl 2,Zugehörig zu Auswahl 2,Auswahl 3,Zugehörig zu Auswahl 3,Auswahl 4,Zugehörig zu Auswahl 4,Auswahl 5,Zugehörig zu Auswahl 5,Begründung,Skizze,Frage,"Antwort (Soll); bitte bei mehreren Soll, mit einem ; trennen","Antwort (Haben) bitte bei mehreren Haben, mit einem ; trennen",Begründung,Leere Tabelle,Fragestellung,Lösung (ergänzte Tabelle),Begründung,Skizze
28/01/2020 18:56:21,Den Ausbildungsbetrieb als Groß- und Außenhandelsunternehmen präsentieren,Wirtschaftskreislauf,,,,,,,,,,,,,,,,,,,,,,,,,test1,Artikel/Definition/Beispiel,,test,test,test,troll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/01/2020 09:27:50,Aufträge kundenorientiert bearbeiten,,Willenserklärung,,,,,,,,,,,,,,,,,,,,,,,,Definition ,Artikel/Definition/Beispiel,,"Eine Willenserklärung ist eine rechtlich wirksame Äußerung einer Person, durch die bewusst eine Rechtsfolge (bzw. ein Rechtsgeschäft) herbeigeführt werden soll. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/01/2020 09:54:31,Aufträge kundenorientiert bearbeiten,,Willenserklärung,,,,,,,,,,,,,,,,,,,,,,,,Einseitige Rechtsgeschäfte ,Artikel/Definition/Beispiel,,"Eine Willenserklärung ist eine rechtlich wirksame Äußerung einer Person, durch die bewusst eine Rechtsfolge (bzw. ein Rechtsgeschäft) herbeigeführt werden soll. ","Für einseitige Rechtsgeschäfte ist nur die Willenserklärung einer Partei nötig. Die einseitigen Rechtsgeschäfte setzen sich zusammen auf Empfangsbedürftigen und nicht Empfangsbedürftigen Willenserklärungen.

Empfangsbedürftige Willensgeschäfte: 
Diese sind erst rechtswirksam, wenn der Empfänger die Willenserklärung erhalten hat. Das ist zum Beispiel bei: Kündigungen(""fett""), Anfechtungen(""fett""), Mahnungen(""fett"") oder Rücktrittserklärungen(""fett"").

Nicht empfangsbedürftige Willenserklärungen:
Bereits mit der Abgabe ist diese Art rechtswirksam, wie zum Beispiel bei: Testamenten(""fett"") oder Eigentumsaufgabe(""fett""). ","Jakob hat sich ein neues Handy bestellt, für das er kein Geld hatte. Nach vier Wochen bekommt er eine Mahnung von der Firma NeueHandys.com. (Empfangsbedürftige Willenserklärung)

Jakobs Großmutter ist inzwischen 85 Jahre alt und will ihre Angelegenheiten vor ihrem Ableben noch geregelt wissen, also setzt sie ein Testament bei einem Notar auf. (Nicht empfangsbedürftige Willenserklärung)",Mehrseitige Rechtsgeschäfte ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/01/2020 10:57:39,Aufträge kundenorientiert bearbeiten,,Willenserklärung,,,,,,,,,,,,,,,,,,,,,,,,"Eine Willenserklärung ist eine rechtlich wirksame Äußerung einer Person, durch die bewusst eine Rechtsfolge (bzw. ein Rechtsgeschäft) herbeigeführt werden soll. ",Artikel/Definition/Beispiel,,,"Bei den mehrseitigen Rechtsgeschäften sind immer mindestens 2 übereinstimmende Willenserklärungen notwendig, das heißt auf einen Antrag folgt eine Annahme.

Die mehrseitigen Rechtsgeschäfte lassen wiederum in zwei Kategorien einteilen, die da wären: einseitig verpflichtende Verträge und mehrseitig verpflichtende Verträge.

Einseitig verpflichtende Verträge:
In diesem Fall ist nur eine Partei verpflichtet, die zuvor bestimmte Leistung zu erbringen.  Dies ist der Fall bei: Schenkungsverträgen(""fett""), Schuldanerkenntnissen(""fett""), Schuldversprchen(""fett"") oder bei Bürgschaften(""fett""). 

Mehrseitig verpflichtenden Verträge:
Hier sind bei bzw. mehrere Parteien verpflichtet ihre Leistung zu erfüllen. Beispiele dafür sind: Kaufverträge(""fett""), Eheverträge(""fett""), Pachtverträge(""fett"") oder Arbeitsverträge(""fett"").","Jakob zieht für seine Groß- und Außenhandel Ausbildung nach München. Endlich hat er die Wohnung gefunden und unterschreibt einen Mietvertrag, in dem sich seine Eltern als Bürgen eintragen lassen. Nach drei Monaten merkt er, dass er die Miete auf Grund seines hohem Lebensstandards nicht mehr zahlen kann. Nun müssen seine Eltern die entstandenen Mietschulden begleichen, da sie für ihn bürgen. (Einseitig verpflichtender Vertrag)

Jakob kauft sich ein neues Auto für 15.000€. Nun ist er verpflichtet das Auto zu bezahlen, um es zu erhalten. Sollte er dies nicht tun bekommt er auch nicht das Auto, da er seinen Part des Kaufvertrages nicht erfüllt hat. (Mehrseitig verpflichtender Vertrag)",Einseitige Rechtsgeschäfte ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/01/2020 11:02:09,Aufträge kundenorientiert bearbeiten,,Willenserklärung,,,,,,,,,,,,,,,,,,,,,,,,einseitige/mehrseitige Rechtsgeschäfte ,Zuordnungsaufgabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Einseitige Willenserklärung ,Mahnung,Einseitige Willenserklärung ,Kündigung ,Einseitige Willenserklärung ,Rücktrittserklärung ,Mehrseitige Willenserklärung ,Ehevertrag ,Mehrseitige Willenserklärung ,Pachtvertrag ,,,,,,,,,,,
29/01/2020 12:13:22,Aufträge kundenorientiert bearbeiten,,Willenserklärung,,,,,,,,,,,,,,,,,,,,,,,,Wer kann eine Willenserklärung abgeben?,Artikel/Definition/Beispiel,,,"Willenserklärungen können auf verschiedene Art und Weisen abgeben werden. 

1. Ausdrückliche Äußerung: kann schriftlich sowohl auch mündlich abgegeben werden

2. Schlüssiges Handeln: z.B. Taxi heranwinken oder auch ein Handzeichen auf einer Auktion

3. Stillschweigen (bei einer langjährigen Geschäftsbeziehung unter Kaufleuten): keine Reaktion auf von Bestellung abweichende Auftragsbestätigung 


Grundsätzlich ist die Abgabe von Willenserklärungen formfrei, es herrscht jedoch in bestimmten Fällen Formzwang: 

A) Schriftform 
--> Hierbei ist eine eigenhändige Unterschrift notwendig 
- Kündigung 
- Schuldversprechen 
- Testament 
- Grundstücks- und Wohnungsverträge mit einer Laufzeit über einem Jahr 

B) Öffentliche (notarielle) Beglaubigung 
--> Bestätigung der Echtheit der Unterschrift und des Inhalts der Erklärung durch einen berechtigten Beamten (Notar) 
- Schriftliche Anmeldung zum Handelsregister 
- Grundbucheintrag 

C) Öffentliche (notarielle) Beurkundung 
--> Bestätigung der Echtheit der Unterschrift und des Inhalt der Erklärung durch eine berechtigten Beamten (Notar) 
- Grundstückskaufverträge 
- Erbverzicht
- Schenkungsversprechen 
- Ehevertrag
- Hauptversammlungsbeschlüsse einer Aktiengesellschaft (AG)",,Mehrseitige Rechtsgeschäfte ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2020 09:23:04,Aufträge kundenorientiert bearbeiten,,Willenserklärung,,,,,,,,,,,,,,,,,,,,,,,,Bindung an die Willenserklärung  ,Artikel/Definition/Beispiel,,,"Grundsätzlich gilt: Derjenige, der eine Willenserklärung abgibt, ist auch an sie gebunden. Diese Bindung erlischt, wenn der Antrag verspätet oder abgeändert angenommen wird oder die Bindung durch sogenannte Freizeichnugklasueln von vornherein ausgeschlossen wird. Sollte das der Fall sein, gilt der Antrag dann als neuer Antrag.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2020 09:35:37,Aufträge kundenorientiert bearbeiten,,Willenserklärung,Verbraucherschutz,,,,,,,,,,,,,,,,,,,,,,,Dauer der Gültigkeit einer Willenserklärung ,Artikel/Definition/Beispiel,,,"Gesetzliche Bindungsfirst:

A) Wenn eine Willenserklärung Persönlich ausgesprochen (persönliches Gespräch, Telefonat, Skype) wird so kann der Antrag nur sofort angenommen werden.

B) Natürlich kann dies auch auf dem Postalischen Weg passieren. Bei Briefen spricht der Gesetzgeber von einer einer Wochen, welche sich aus Postlaufzeit und Bedenkzeit zusammen setzt.  In dem Zeitraum kann der Antrag angenommen werden. 

Wichtig:
Ist jedoch eine Frist gesetzt, so ist die Annahme nur innerhalb dieser Frist möglich. Das wäre dann eine Vertragliche Bindungsfirst. 

Nun können aber auch diese Bindungen durch Vertragliche Floskeln außer kraft Gesetz werden.

Freizeichnungsklauseln: 
Bei einer Freizeichnungsklausel wird die Bindung an die Willenserklärung schon im Vorhinein ausgeschlossen durch einfache Phrasen.
- unverbindlich / ohne Gewähr
- solange der Vorrat reicht
- Zwischenverkauf vorbehalten
- freibleibendes Angebot 

Anpreisungen:
Eine Anpreisung schießt die Bindung an die Willenserklärung von vornherein aus, da sie an die Allgemeinheit gerichtet ist. 
- Schaufensterauslage 
- Katalogangebote
- Zeitungsinserate 
- Rundfunkwerbung ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2020 09:35:43,Aufträge kundenorientiert bearbeiten,,Willenserklärung,,,,,,,,,,,,,,,,,,,,,,,,Bindungsfrist ,Mehrfachwahlaufgabe (Multiple Choice),,,,,,,,In welchem Fall gibt es eine gesetzliche Bindungsfirst?,Auf dem Postweg ,"Ja, da der Empfänger nicht unmittelbar antworten kann",Bei einem Telefonat ,"Ja, aber dieses Angebot kann bloß sofort angenommen werden ",Bei einem freibleibenden Angebot ,"Nein, da es sich hierbei um eine Freizeichnungsklausel handelt ",Bei einer Rundfunkwerbung ,"Nein, da eine Anpreisung die Bindung an die Willenserklärung im vornherein schon ausschließt ",Bei einer Schaufensterauslage ,"Nein, da eine Anpreisung die Bindung an die Willenserklärung im vornherein schon ausschließt ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2020 09:39:15,Aufträge kundenorientiert bearbeiten,,Rechtsfähigkeit,,,,,,,,,,,,,,,,,,,,,,,,Wann bin ich Rechtsfähig?,Artikel/Definition/Beispiel,,"Bezeichnet die Fähigkeit von Personen, träger von Rechten und Pflichten zu sein. ","Es gibt zwei Arten von Personen, die diese Fähigkeit besitzen. Einmal die natürliche Person und einmal die juristische Person.

Natürliche Person: 
- Alle natürlichen Personen (Menschen) sind rechtsfähig 
- Rechtsfähigkeit ab Geburt bis zum Tod 

Juristische Person:
Eine juristische Person ist Grundsätzlich ab der Eintragung in ein öffentliches Registers rechtsfähig. Die Rechtsfähigkeit endet mit der Löschung aus dem Register, aber auch hier muss man zwischen dem öffentlichen und dem privaten Recht unterscheiden.

des öffentlichen Rechts:
- Bund, Länder, Kreise, Gemeinden 
- Körperschaften 
- Berufsgenossenschaften 
- IHK
- gesetzliche Krankenkassen 
- Landesversicherungsanstalten 

des privaten Rechts:
- Kapitalgesellschaften 
- Stiftungen 
- eingetragene Vereine (e.V.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
