Timestamp,Teilbereich der Ausbildung,Unterkategorie des Teilbereichs,Fachbereich,Fachbereich,Fachbereich,Fachbereich,Fachbereich,Unterkategorie des Fachbereichs,Fachbereich,Fachbereich,Fachbereich,Unterkategorie des Fachbereichs,Fachbereich,Unterkategorie des Fachbereichs,Kommentar,Fachbegriff,Inhalt,Kommentar,Definition,Erläuterung,Praxisbeispiel aus der Wirtschaft,Verwandte Themen,Kommentar/Bemerkung,Skizze,Lernfrage 1,Antwortmöglichkeit 1.1 (bitte hier immer die richtige Antwort),Antwortmöglichkeit 1.2,Antwortmöglichkeit 1.3,Antwortmöglichkeit 1.4,Antwortmöglichkeit 1.5,Begründung 1.1 (bitte hier immer die richtige Antwort),Begründung 1.2,Begründung 1.3,Begründung 1.4,Begründung 1.5,Skizze,Beispiel-Rechnung ,Antwortmöglichkeit 1.1 (bitte hier immer die richtige Lösung),Antwortmöglichkeit 1.2 ,Antwortmöglichkeit 1.3,Antwortmöglichkeit 1.4,Antwortmöglichkeit 1.5,Begründung 1.1 (bitte hier immer die richtige Antwort),Begründung 1.2,Begründung 1.3,Begründung 1.4,Begründung 1.5,Frage,Skizze,Antwort 1,Antwort 2,Antwort 3,Antwort 4,Antwort 5,Antwort 6,Antwort 7,Antwort 8,Begründung der Reihenfolge,Lernfrage,Skizze,Antwortmöglichkeit 1.1 (bitte richtige Wahl),Antwortmöglichkeit 1.2 (bitte richtige Wahl),"Antwortmöglichkeit 1.3 (falls richtig, am Anfang der Antwort mit ""R:"" beginnen)",Antwortmöglichkeit 1.4,Antwortmöglichkeit 1.5,Begründung 1.1,Begründung 1.2,Begründung 1.3,Begründung 1.4,Begründung 1.5,Auswahl 1,Zugehörig zu Auswahl 1,Auswahl 2,Zugehörig zu Auswahl 2,Auswahl 3,Zugehörig zu Auswahl 3,Auswahl 4,Zugehörig zu Auswahl 4,Auswahl 5,Zugehörig zu Auswahl 5,Begründung,Skizze,Frage,"Antwort (Soll); bitte bei mehreren Soll, mit einem ; trennen","Antwort (Haben) bitte bei mehreren Haben, mit einem ; trennen",Begründung,Leere Tabelle,Fragestellung,Lösung (ergänzte Tabelle),Begründung
17/01/2020 19:18:01,In Ausbildung und Beruf orientieren,Berufsbildungsgesetz,,,,,,,,,,,,,,Beginn und Dauer der Ausbildung,Artikel/Definition/Beispiel,,§ 21 BBiG,Das Ausbildungsverhältnis soll nicht länger als drei Jahre und nicht weniger als 2 Jahre betragen. Es endet mit dem Bestehen der Abschlussprüfung. ,"Im Ausbildungsvertrag von Anna ist eine Ausbildungsdauer von 2,5 Jahren vorgesehen. ",Probezeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2020 19:25:56,In Ausbildung und Beruf orientieren,Berufsbildungsgesetz,,,,,,,,,,,,,,Probezeit,Artikel/Definition/Beispiel,,§ 22 BBiG,"Die Probezeit darf maximal 4 Monate in der Ausbildung betragen (6 Monate bei nicht Auszubildenden). Während der Probezeit kann das Arbeitsverhältnis von beiden Seiten, also vom Arbeitgeber sowie vom Arbeitnehmer, ohne Einhaltung einer Kündigungsfrist und ohne Angabe von Gründen gekündigt werden. ",Paul bekommt nach Beginn seiner Ausbildung im August nach 2 Monaten seinen Wunschstudienplatz zugesagt. Er kündigt somit innerhalb der Probezeit sein Ausbildungsverhältnis und muss auf keine Kündigungsfristen achten,Dauer des Urlaubes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2020 19:38:32,In Ausbildung und Beruf orientieren,Berufsbildungsgesetz,,,,,,,,,,,,,,Dauer des Urlaubes,Artikel/Definition/Beispiel,,Nach Gesetz 24 bzw. 20 Tage,"Nach dem Bundensurlaubsgesetz beträgt die Mindesturlaubsdauer 24 Tage. Dies ist allerdings nur bei einer sechs Tage Woche der Fall. Bei einer fünf Tage Woche beträgt der Urlaubsanspruch nur 20 Tage. Durch Tarifverträge stehe den meisten Arbeitnehmern oft mehr Urlaubstage zu. Wenn Mitarbeiter das Arbeitsverhältnis erst im laufenden Jahr antreten, werden die Urlaubstage anteilig berechnet. (Stand Jan. 2020)","Herr Meier fängt am 01.08.2020 seine Ausbildung zum Industriekaufmann an. Laut Arbeitsvertrag stehen ihm 30 Urlaubstage zu. Da er nur 5 Monate in diesem Jahr arbeitet, stehen ihm 5/12 des Jahresurlaubes zu. In dem Falle wären das 13 Tage ((30/12)*5=12,5 --> aufgerundet 13).",Dauer der Probezeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2020 19:49:58,In Ausbildung und Beruf orientieren,Berufsbildungsgesetz,,,,,,,,,,,,,,Rechte und Pflichten für den Ausbildenden,Artikel/Definition/Beispiel,,Inhalt des BBiG ,"Zu den Pflichten für den Ausbildenden zählen u.a. die Eintragung des Ausbildungsverhältnisses bei der IHK nach Vertragsabschluss, das Anlegen einer Personalakte, die Anmeldung in der Berufsschule, die Anmeldung bei der Krankenkasse und dem Finanzamt, sowie dem Auszubildenden die Fertigkeiten und Kenntnisse zu vermitteln, die er zum Erreichen des Ausbildungsziels benötigt. Er muss außerdem den Auszubildenden für den Besuch der Berufsschule freistellen, den Auszubildenden zu den Zwischen- und Abschlussprüfungen anmelden, Ausbildungsmittel (z.B. Werkzeuge) kostenlos bereit stellen und dem Auszubildenden nach Beendigung des Ausbildungsverhältnisses ein Zeugnis ausstellen.",,Rechte und Pflichten des Auszubildenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2020 20:02:35,In Ausbildung und Beruf orientieren,Berufsbildungsgesetz,,,,,,,,,,,,,,Rechte und Pflichten des Auszubildenden,Artikel/Definition/Beispiel,,Inhalt des BBiG,"Der Auszubildende verpflichtet sich, seine Steueridentifikationsnummer und einen Bescheid der Krankenkasse abzugeben. Er muss sich bemühen, die Fertigkeiten und Kenntnisse der Berufsausbildung zu erlernen und am Unterricht, sowie an den Prüfungen teilzunehmen. Er muss außerdem, die für den Betrieb geltende Ordnung beachten und die Einrichtungen (z.B. Maschinen) pfleglich behandeln.",,Rechte und Pflichten des Ausbildenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2020 20:12:38,In Ausbildung und Beruf orientieren,Schutzgesetzte,,,,,,,,,,,,,,Arbeitszeit,Artikel/Definition/Beispiel,,Jugendarbeitsschutzgesetz (< 18 Jahre),"- nicht mehr als 8h täglich, nicht mehr als 40h in der Woche
- 5 Tage Woche, bei Wochenendarbeit ein Ausgleichstag in der Woche
- Beschäftigung nur von 6-20h (Ausnahme im Gaststättengewerbe, Schichtsystem, Landwirtschaft u.Ä.)
- Ruhezeit von mindestens 12 Stunden zwischen Feierabend und Arbeitsbeginn
",,Ruhepausen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2020 20:16:45,In Ausbildung und Beruf orientieren,Schutzgesetzte,,,,,,,,,,,,,,Ruhepausen,Artikel/Definition/Beispiel,,Jugendarbeitsschutzgesetz (< 18 Jahre),"- Arbeitsunterbrechung von 15 Minuten zählt als Ruhepause
- mindestens 30 Minuten bei 4,5h bis 6h Arbeit
- mindestens 60 Minuten bei mehr als 6h
- erste Pause nach spätestens 4,5h",Anna (17 Jahre alt) arbeitet immer von 8-16 Uhr. Um spätestens 12:30 muss sie für mindestens 60 Minuten in Pause gehen.,Urlaub nach Jugendarbeitsschutzgesetz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2020 20:22:16,In Ausbildung und Beruf orientieren,Schutzgesetzte,,,,,,,,,,,,,,Urlaub nach Jugendarbeitsschutzgesetz,Artikel/Definition/Beispiel,,Jugendarbeitsschutzgesetz (< 18 Jahre),"Wenn der Jugendliche zu Beginn des Kalenderjahres:
a) noch nicht 16 Jahre alt ist, stehen ihm 30 Werktage zu.
b) 16 Jahre alt ist, stehen ihm 27 Werktage zu.
c) 17 Jahre alt ist, stehen ihm 25 Werktage zu. ",Paul (zu Beginn des Jahres 16 Jahre alt) stehen laut Jugendarbeitsschutzgesetz 27 Werktage Urlaub zu. ,Beschäftigungsverbote nach Jugendarbeitsschutzgesetz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2020 20:28:16,In Ausbildung und Beruf orientieren,Schutzgesetzte,,,,,,,,,,,,,,Beschäftigungsverbote nach Jugendarbeitsschutzgesetz,Artikel/Definition/Beispiel,,Jugendarbeitsschutzgesetz (< 18 Jahre),"Beschäftigungsverbote gelten für gefährliche Arbeiten, wie z.B. Akkordarbeit und Arbeiten bei denen die Jugendlichen großer Hitze, Kälte, Nässe, gesundheitlichem Lärm, Strahlen oder Arbeitsstoffen ausgesetzt sind. Ausnahmen bestehen nur, wenn die Ausbildung dies erfordert.",,Ruhepausen nach Jugendarbeitsschutzgesetz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2020 22:15:33,In Ausbildung und Beruf orientieren,Schutzgesetzte,,,,,,,,,,,,,,Mutterschutz,Artikel/Definition/Beispiel,,Zum Schutz werdender oder stillender Mütter,"- Beschäftigungsverbot: 6 Wochen vor und bis zu 8 Wochen nach Entbindung
- Schutzmaßnahmen am Arbeitsplatz: z.B. keine Nacht-, Mehr-, und Sonntagsarbeit
- Kündigungsschutz: während der Schwangerschaft und 4 Monate nach Entbindung ",,Elterngeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
