Timestamp,Teilbereich der Ausbildung,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Unterbereich der Kategorie,Fachbereich,Kommentar,Fachbegriff,Inhalt,Definition,Erläuterung,Praxisbeispiel,Verwandte Themen,Kommentar/Bemerkung,Skizze,Lernfrage,Skizze,Antwortmöglichkeit 1 (bitte hier immer die richtige Antwort),Begründung 1,Antwortmöglichkeit 2,Begründung 2,Antwortmöglichkeit 3,Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Lernfrage,Skizze,Antwort 1,Antwort 2,Antwort 3,Antwort 4,Antwort 5,Antwort 6,Antwort 7,Antwort 8,Begründung,Beispiel-Rechnung ,Skizze,Antwortmöglichkeit 1 (bitte hier immer die richtige Lösung),Begründung 1,Antwortmöglichkeit 2,Begründung 2,Antwortmöglichkeit 3,Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Lernfrage,Skizze,Antwortmöglichkeit 1 (bitte richtige Wahl),Begründung 1,Antwortmöglichkeit 2 (bitte richtige Wahl),Begründung 2,"Antwortmöglichkeit 3 (falls richtig, am Anfang der Antwort mit ""R:"" beginnen)",Begründung 3,Antwortmöglichkeit 4,Begründung 4,Antwortmöglichkeit 5,Begründung 5,Skizze,Auswahl 1,Zugehörig zu Auswahl 1,Auswahl 2,Zugehörig zu Auswahl 2,Auswahl 3,Zugehörig zu Auswahl 3,Auswahl 4,Zugehörig zu Auswahl 4,Auswahl 5,Zugehörig zu Auswahl 5,Begründung,Kommentar
30/01/2020 02:48:45,Fertigen von Bauelementen mit handgeführten Werkzeugen,Prüftechnik 1,,,,,,,,,,,,,,,,,,Lehren,Artikel/Definition/Beispiel,Ein Prüfwerkzeug zum verkörpern von Maße und Formen. ,"Mit Lehren kann man schnell und einfach Maße und Formen prüfen, ob sie die vorgesehenen Maße oder die vorgesehene Form erfüllen. Bei Grenzmaßen ist dies machbar mit Verkörperungen eines Höchstmaßes und Mindestmaßes.","Um eine Bohrung, die auf ein Passmaß gefertigt worden ist schnell zu überprüfen kann man einen Grenzlehrdorn verwenden. Dieser besitzt zwei zylinderförmige Verkörperungen die einmal das zulässige Höchstmaß und das zulässige Mindestmaß überprüfen können, sowohl auch die zylinderförmige Form der Bohrung. Die Verkörperungen kann man auch Gut- und Ausschussseiten nennen, wobei die ""Gutseite"" in die Bohrung passen muss und die ""Ausschussseite"" nicht.","Messen
Subjektives Prüfen
Objektives Prüfen
Prüfen
Messen","Messen ist sehr zwar sehr ähnlich, trotzdem darf man Messen und Lehren nicht verwechseln.",https://drive.google.com/open?id=1pk03dUim1l3YhJKZI_fuXHR7bEIhvn1i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2020 03:26:56,Fertigen von Bauelementen mit handgeführten Werkzeugen,Prüftechnik 1,,,,,,,,,,,,,,,,,,Messen ,Artikel/Definition/Beispiel,"Ein Vergleich eines Merkmales mit einem Messgerät, was einen Messwert übermittelt.","Bei dem Messen werden Werte eines Merkmales mit einem Messgerät ermittelt die durch das Vergleichen eines Merkmales mit einem Messgerät erfolgt. Der Wert beträgt eine Einheit die vom Messgerät festgelegt wurde. Welches Messgerät verwendet wird hängt von vielen Einflüssen ab, wie zB. der erforderlichen Genauigkeit, der Toleranzen oder der Form des Messobjektes.",Eine Länge eines Werkstückes kann man mit einem Messschieber oder einem Stahlmaß ermitteln.,"Subjektives Prüfen
Objektives Prüfen
Prüfen
Lehren",,https://drive.google.com/open?id=1PSX8K1kdvgB2CGfSplHukVfealxVmAlv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2020 02:36:29,Fertigen von Bauelementen mit handgeführten Werkzeugen,Prüftechnik 1,,,,,,,,,,,,,,,,,,Messgröße,Artikel/Definition/Beispiel,Ein zu messendes Merkmal einer physikalischen Größe,"Der Abstand der zu messen ist, z.B. den Bohrungsabstand von zwei Bohrungen.",,"Messen
Anzeigende Messgeräte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2020 02:45:34,Fertigen von Bauelementen mit handgeführten Werkzeugen,Prüftechnik 1,,,,,,,,,,,,,,,,,,Maßverkörperungen,Artikel/Definition/Beispiel,"Ein Objekt, was eine Messgröße darstellt.","Eine Maßverkörperung kann eine Messgröße durch einen festen Abstand von Flächen, Abstand von Strichen oder durch eine Winkellage von Flächen darstellen.",Ein Maßstab ist eine Maßverkörperung die eine Messgröße durch Abständen von Strichen darstellen kann. ,Lehren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2020 03:06:35,Fertigen von Bauelementen mit handgeführten Werkzeugen,Prüftechnik 1,,,,,,,,,,,,,,,,,,Anzeigende Messgeräte,Artikel/Definition/Beispiel,"Ein Gerät, was unmittelbar ein Messwert anzeigen kann.","Ein anzeigendes Messgerät hat bewegliche Marken, Skalen oder Zählwerke die einen Messwert unmittelbar anzeigen können.","Ein Taschenmessschieber hat einen beweglichen Schieber mit einem Noniusstrich, der auf einer Schiene geführt wird. Durch der Strichskale und den Nonius kann man ein Messwert sofort ablesen.","Messen
Messgröße",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2020 03:15:51,Fertigen von Bauelementen mit handgeführten Werkzeugen,Prüftechnik 1,,,,,,,,,,,,,,,,,,Skalenteilungswert,Artikel/Definition/Beispiel,Ein Wert einer Differenz eines Messwertes von zwei aufeinander folgenden Teilstrichen einer Skale.,Ein Skalenteilungswert gibt die Differenz eines Messwertes von zwei auf einander folgenden Teilstriche einer Skale an. Dieser Wert wird in der Einheit angegeben der auf der Skale steht. ,,"Systematische Messabweichung
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2020 03:22:08,Fertigen von Bauelementen mit handgeführten Werkzeugen,Prüftechnik 1,,,,,,,,,,,,,,,,,,Systematische Messabweichung,Artikel/Definition/Beispiel,"Messabweichungen, die durch konstante Abweichung verursacht werden.","Systematische Messabweichungen sind konstante Abweichungen, die z.B. durch ungenaue Skalen oder Formänderung durch gleichbleibender Messkraft entstehen. Eine Abweichung, die jedes Mal gleich sein muss.",,"Zufällige Messabweichung
Skalenteilungswert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2020 03:32:07,Fertigen von Bauelementen mit handgeführten Werkzeugen,Prüftechnik 1,,,,,,,,,,,,,,,,,,Bezugstemperatur,Artikel/Definition/Beispiel,"Die Temperatur, wo alles innerhalb der vorgeschriebenen Toleranzen liegen muss. ","Die Bezugstemperatur beträgt 20 Grad Celsius. Während einer Messung müssen alle Maße innerhalb der vorgeschriebenen Toleranzen liegen, vorausgesetzt Messgerät und Messobjekt besitzen beide genau 20 Grad Celsius.",,"Messen
Anzeigende Messgeräte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 13:46:47,Instandsetzen von technischen Systemen,,,,,,,,,"Montage, Inbetriebnahme und Instandhaltung 9",,,,,,,,,,Störungsbedingte Instandsetzung,Artikel/Definition/Beispiel,Unter einer störungsbedingten Instandsetzung versteht man eine nicht planbare Instandsetzung. Die Abnutzungsgrenze ist überschritten und der Abnutzungsvorrat ist verbraucht.,"Hierbei tritt eine unvorhergesehene Störung auf, die instandgesetzt werden muss. Das führt zu Ausfällen, die hohe Kosten verursachen können.",Eine Maschine fällt in einer Fertigungsstraße aufgrund eines Getriebeschadens aus. Der Fertigungsprozess muss stillgelegt werden und der Schaden behoben werden. ,Vorbeugenden Instandsetzung ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2020 13:55:00,Instandsetzen von technischen Systemen,,,,,,,,,"Montage, Inbetriebnahme und Instandhaltung 9",,,,,,,,,,Vorbeugende Instandsetzung,Artikel/Definition/Beispiel,Unter einer vorbeugenden Instandsetzung versteht man eine planbare Instandsetzung. Der Abnutzungsvorrat ist noch nicht aufgebraucht und wird bei der Instandsetzung erneuert. Sie wird unterschieden in intervallabhängige Instandsetzung und zustandsabhängige Instandsetzung. ,,siehe intervallabhängie Instandsetzung oder zustandsbedingte Instandsetzung,"Intervallabhängige Instandsetzung
Zustandsbedingte Instandsetzung
Abnutzungsvorrat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
